COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;REGION2016;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;211;2008;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;C;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3.37334303980949;1;M;02;Z;11;11;2;ZZ;2;B;22;3;11;1;2;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;2008;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;15;2;1;Z;3;2;2;0;3;3;3;2;3;1;0;0;3;0;1;5;1;4;1;2;3.37334303980949;1;M;05;Z;11;11;2;ZZ;1;A;22;5;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2008;9;65;003;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;2;0;0;1;1;0;0;1;2;0;2;1;0;3.37334303980949;1;M;02;0;11;11;2;ZZ;2;B;22;3;21;Z;Z;770291;3;2;2;Z
77288;ZZZZZ;772880101;211;1995;8;55;016;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;B;Z;Z;Z;16;2;1;Z;4;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;3.37334303980949;1;M;05;Z;11;11;2;ZZ;1;A;22;4;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;211;2008;9;55;003;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;2;0;0;0;0;2;1;0;1;0;0;0;1;2;1;1;1;1;3.37334303980949;1;M;02;9;11;11;2;ZZ;2;A;22;3;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2009;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;C;Z;Z;Z;15;2;1;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.37334303980949;1;M;03;Z;11;11;2;ZZ;1;A;22;4;11;2;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;1969;5;80;042;06;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.37334303980949;1;M;03;9;11;11;2;ZZ;2;B;22;4;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;1950;4;80;064;08;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;A;Z;Z;Z;ZZ;2;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.06676214624127;1;M;06;0;11;11;2;ZZ;2;B;10;7;21;Z;Z;770291;1;1;0;Z
77288;ZZZZZ;772880101;211;2001;9;25;014;03;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;D;Z;Z;Z;16;1;2;Z;2;2;1;0;2;2;2;2;2;0;0;0;1;0;2;4;3;1;2;2;4.21709488957678;1;M;05;Z;11;11;2;ZZ;1;A;10;5;11;1;4;770291;1;1;2;Z
77288;ZZZZZ;772880101;212;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;2;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1.02168890342406;Y;M;02;Y;11;11;2;ZZ;Y;Y;00;2;YY;Y;Y;770291;3;2;X;Z
