COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP19M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC;Texte
77288;ZZZZZ;772880101;B12;2012;9;40;010;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;15;Z;Z;Z;16;2;1;Z;1;1;6;0;1;2;2;3;3;0;0;0;0;0;3;5;4;1;2;2;4.68744435722309;1;M;04;Z;11;1;ZZ;1;3;22;5;11;1;5;770291;3;2;2;Z;B12
77288;ZZZZZ;772880101;A12;1975;6;65;047;06;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;4;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;4.68744435722309;1;M;03;0;11;2;ZZ;1;5;22;3;21;Z;Z;770291;3;2;1;Z;A12
77288;ZZZZZ;772880101;B11;1971;6;80;051;07;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;ZZ;1;1;Z;Z;2;3;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.68744435722309;1;M;04;0;11;2;ZZ;1;1;22;5;21;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B12;1995;8;25;027;04;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;1;Z;3;2;2;0;0;0;0;3;0;0;1;0;0;0;2;3;2;1;2;0;4.68744435722309;1;M;03;Z;11;2;ZZ;1;6;22;3;11;1;5;770291;3;2;1;Z;B12
77288;ZZZZZ;772880101;B11;1967;5;80;055;07;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.68744435722309;1;M;04;0;11;2;ZZ;2;4;22;4;21;Z;Z;770291;3;2;1;Z;B11
77288;ZZZZZ;772880101;B12;1995;8;80;027;04;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.68744435722309;1;M;03;0;11;2;ZZ;1;1;22;4;21;Z;Z;770291;3;2;1;Z;B12
77288;ZZZZZ;772880101;B12;1996;8;65;026;04;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;01;Z;Z;Z;ZZ;1;1;Z;Z;1;6;1;0;0;1;2;2;0;1;1;0;0;0;3;1;2;0;1;4.68744435722309;1;M;04;0;11;2;ZZ;2;4;22;5;21;Z;Z;770291;3;2;1;Z;B12
77288;ZZZZZ;772880101;B12;2010;9;55;012;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;12;Z;Z;Z;ZZ;1;1;Z;Z;1;6;0;0;0;0;2;0;0;1;0;0;0;0;2;1;1;0;0;4.68744435722309;1;M;03;9;11;1;ZZ;2;4;22;3;21;Z;Z;770291;3;2;1;Z;B12
77288;ZZZZZ;772880101;B12;2016;9;55;006;02;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;01;Z;Z;Z;16;2;1;1;4;1;6;0;0;1;1;3;2;0;1;0;0;0;3;4;2;2;3;3;4.68744435722309;1;M;04;Z;11;2;ZZ;1;1;22;5;11;1;5;770291;2;2;2;Z;B12
77288;ZZZZZ;772880101;B12;2014;9;55;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;03;Z;Z;Z;ZZ;2;1;Z;Z;1;6;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;0;0;4.68744435722309;1;M;03;2;11;2;ZZ;1;1;22;4;12;Z;Z;770291;3;2;1;Z;B12
77288;ZZZZZ;772880101;B12;0000;0;YY;999;99;Y;Z;Z;H;4;Z;Y;Z;Z;Y;Z;Z;YY;Z;Z;Z;YY;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;4.68739350577478;Y;M;YY;Y;11;Y;ZZ;Y;Y;00;Y;YY;Y;Y;770291;Y;2;X;Z;B12
77288;ZZZZZ;772880101;B12;2008;9;25;014;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.68744435722309;1;M;03;Z;11;2;ZZ;1;6;22;4;11;1;5;770291;3;2;0;Z;B12
77288;ZZZZZ;772880101;A12;1951;4;80;071;09;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.68744435722309;1;M;04;9;11;1;ZZ;2;4;22;4;21;Z;Z;770291;3;2;0;Z;A12
77288;ZZZZZ;772880101;B11;2009;9;65;013;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;4.68744435722309;1;M;03;0;11;2;ZZ;2;4;22;3;21;Z;Z;770291;3;2;0;Z;B11
77288;ZZZZZ;772880101;B12;2018;9;25;004;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;16;1;1;Z;1;2;2;0;2;2;2;1;2;0;0;0;0;0;1;3;0;3;1;2;4.68744435722309;1;M;04;Z;11;2;ZZ;2;5;22;4;11;2;5;770291;3;2;0;Z;B12
77288;ZZZZZ;772880101;B12;2018;9;40;004;01;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;16;1;1;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.68744435722309;1;M;03;Z;11;2;ZZ;1;6;22;3;11;1;2;770291;3;2;0;Z;B12
