COMMUNE;ARM;IRIS;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;MATRM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;1984;7;65;025;04;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;3,69686885561343;2;M;03;9;11;2;ZZ;2;22;2;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;1967;5;80;045;06;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;2;0;0;2;1;0;1;0;2;1;1;0;0;1,07686053566771;3;M;05;9;11;2;ZZ;2;22;3;25;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;1979;6;40;033;05;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;02;Z;Z;Z;14;2;1;Z;1;2;4;1;0;1;1;2;2;0;0;0;0;0;1;3;1;2;1;2;3,51106929578858;4;M;03;Z;11;2;ZZ;2;22;2;11;1;2;770291;3;2;0;Z
77288;ZZZZZ;772880101;2000;9;25;009;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;ZZ;2;2;Z;Z;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;3,69686885561343;1;M;02;1;11;2;ZZ;1;21;1;12;Z;Z;770291;3;2;3;Z
77288;ZZZZZ;772880101;2007;9;20;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1,07686053566771;1;M;02;Z;11;2;ZZ;1;10;1;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;2003;9;25;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;15;Z;Z;Z;16;2;1;Z;3;1;6;1;3;4;4;2;4;2;0;0;3;0;2;6;4;2;2;2;3,55552014598123;2;M;04;Z;11;2;ZZ;1;22;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;2008;9;25;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;13;Z;Z;Z;16;1;2;Z;1;2;3;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;3,69686885561343;1;M;03;Z;11;2;ZZ;1;10;2;11;2;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;1995;8;40;016;03;1;Z;Z;H;1;Z;2;Z;Z;4;Z;Z;02;Z;Z;Z;16;2;1;Z;2;2;3;1;0;0;1;2;1;0;0;0;0;0;1;3;1;2;1;0;3,55552014598123;1;M;03;Z;11;2;ZZ;1;22;2;11;1;2;770291;3;2;1;Z
77288;ZZZZZ;772880101;0000;0;YY;999;99;2;Z;Z;H;4;Z;1;Z;Z;2;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1,07685835285714;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;2;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1,07685835285714;Y;M;02;Y;11;2;ZZ;Y;00;1;YY;Y;Y;770291;3;2;X;Z
77288;ZZZZZ;772880101;2007;9;20;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;02;Z;Z;Z;16;2;2;Z;2;2;2;0;0;0;0;2;2;0;0;0;0;0;2;2;1;1;2;1;1,07686053566771;1;M;02;Z;11;2;ZZ;1;21;1;11;1;4;770291;3;2;2;Z
77288;ZZZZZ;772880101;2003;9;55;008;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;16;2;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3,55552014598123;4;M;03;Z;11;2;ZZ;1;22;2;11;1;2;770291;3;2;0;Z
