COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP15M;INP17M;INP18M;INP24M;INP3M;INP60M;INP65M;INP5M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;B11;1976;6;65;041;06;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;17;Z;Z;Z;ZZ;1;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.73073824966781;1;M;03;9;11;2;ZZ;2;4;22;5;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;B12;2003;9;25;014;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;ZZ;1;1;Z;Z;2;2;1;2;3;4;1;5;0;0;0;0;0;2;6;4;2;0;4;3.73073824966781;1;M;03;1;11;2;ZZ;2;1;22;4;12;Z;Z;770291;2;2;2;Z
77288;ZZZZZ;772880101;C100;1998;8;55;020;04;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;16;1;2;Z;3;2;1;1;0;0;0;3;1;0;0;0;0;0;2;3;2;1;1;0;4.29297723595842;1;M;04;Z;11;2;ZZ;2;5;10;4;11;1;6;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2013;9;25;002;01;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;16;Z;Z;Z;15;2;1;Z;1;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.65411685370016;1;M;02;Z;11;2;ZZ;1;1;22;3;11;1;6;770291;3;2;0;Z
77288;ZZZZZ;772880101;B11;2013;9;40;003;01;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;16;2;1;Z;1;2;6;1;2;3;3;2;3;0;0;0;0;0;2;5;3;2;2;3;3.6184198241721;1;M;04;Z;11;2;ZZ;1;3;22;4;11;1;6;770291;3;2;1;Z
77288;ZZZZZ;772880101;C112;2013;9;65;003;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1.1275627885979;3;M;02;9;11;2;ZZ;1;4;23;3;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C113;2013;9;40;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;03;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.1275627885979;1;M;02;Z;11;2;ZZ;1;6;10;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2018;9;25;001;00;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;12;Z;Z;Z;ZZ;2;1;Z;Z;2;1;0;1;1;1;1;1;0;0;0;0;0;1;2;0;2;0;1;4.11828262996597;2;M;03;1;11;2;ZZ;2;6;22;4;12;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;B11;2005;9;40;013;03;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;17;Z;Z;Z;15;2;1;Z;2;1;6;0;2;2;2;2;2;1;0;0;1;0;1;4;2;2;1;1;4.29297723595842;1;M;04;Z;11;2;ZZ;1;1;22;4;11;1;5;770291;3;2;2;Z
77288;ZZZZZ;772880101;B11;2002;9;40;014;03;2;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;13;Z;Z;Z;ZZ;1;1;Z;Z;2;1;0;0;0;0;2;0;0;0;0;0;0;0;2;1;1;0;0;3.6184198241721;1;M;03;9;11;2;ZZ;1;1;22;4;25;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;C113;2014;9;80;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1.1275627885979;5;M;02;Z;11;2;ZZ;1;6;10;2;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;C100;1999;8;40;019;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.29297723595842;1;M;03;Z;11;2;ZZ;2;6;10;3;11;1;5;770291;1;2;1;Z
77288;ZZZZZ;772880101;B11;2010;9;55;005;02;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;03;Z;Z;Z;ZZ;1;1;Z;Z;2;2;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;4.65411685370016;1;M;02;0;11;2;ZZ;1;6;22;2;21;Z;Z;770291;3;2;1;Z
